num_client;numero_commande;date;montant_des_produits;remise_sur_produits;montant_livraison;remise_sur_livraison;montant_total_paye
ID_594765;312786;29/06/2021;115;;19.49;;134.49
ID_594765;314048;04/07/2021;7;;3.99;;10.99
ID_594786;307221;30/05/2021;15;;3.99;;18.99
ID_594786;330635;01/10/2021;129;;12.99;;141.99
ID_594786;377051;13/05/2022;81.5;;7.2;;88.7
ID_594786;408233;14/12/2022;71;;9.49;;80.49
ID_594845;351245;11/01/2022;63.2;;25;-9.05;79.15
ID_594847;298628;06/04/2021;68;;19.49;;87.49
ID_594849;298620;06/04/2021;59.5;;4.99;-4.99;59.5
ID_594849;371348;07/04/2022;55;;7.2;;62.2
ID_594849;375323;02/05/2022;166;-15;25;-25;151
ID_594911;358057;30/01/2022;55;;5.49;;60.49
ID_594971;298961;08/04/2021;9;;3.99;;12.99
ID_594971;300238;12/04/2021;13.2;;3.49;;16.69
ID_594985;321388;08/12/2021;51.2;;4.7;-4.7;51.2
ID_594994;298979;08/04/2021;114;-25;29.99;;118.99
ID_595015;341055;19/11/2021;55;;4.99;;59.99
ID_595015;373272;15/04/2022;407;-20;29.5;-29.5;387
ID_595015;375465;03/05/2022;139;-20;17.4;;136.4
ID_595065;299176;09/04/2021;6;;3.99;;9.99
ID_595107;316978;18/07/2021;40.5;;4.99;;45.49
ID_595112;299572;11/04/2021;75;;19.49;;94.49
ID_595173;299745;11/04/2021;85;;19.49;;104.49
ID_595236;316164;15/07/2021;5;;3.49;;8.49
ID_595287;303015;03/05/2021;73;;8;;81
ID_595290;393186;24/12/2022;40.4;;7.2;;47.6
ID_595346;333784;29/10/2021;211;;16;;227
ID_595346;378995;31/05/2022;66;;10;;76
ID_595346;389632;19/07/2022;10;;5.5;;15.5
ID_595368;300524;14/04/2021;85;;19.49;;104.49
ID_595391;301123;17/04/2021;95;;19.49;;114.49
ID_59547;291747;28/02/2021;49.5;;4.49;-4.49;49.5
ID_59547;307024;30/05/2021;32;;4.49;;36.49
ID_595497;301690;23/04/2021;89;-25;6.8;;70.8
ID_595497;301693;23/04/2021;27;;8;;35
ID_595497;307718;02/06/2021;32.5;;8;;40.5
ID_595497;309462;13/06/2021;36;;4.7;;40.7
ID_595497;326287;12/09/2021;29;;6.8;;35.8
ID_595497;326290;12/09/2021;22.5;;6.8;;29.3
ID_595497;329574;27/09/2021;20;;6.8;;26.8
ID_595497;375635;04/05/2022;60;;8.49;;68.49
ID_595497;386749;08/07/2022;35;;6.5;;41.5
ID_595497;394282;06/09/2022;46.5;;6.5;;53
ID_595497;402297;09/11/2022;10;;6.99;;16.99
ID_595613;376103;07/05/2022;22.5;-8.45;6.99;-6.99;14.05
ID_595613;376107;07/05/2022;52;-19.58;8.49;;32.42
ID_595613;408473;19/12/2022;176;-69.85;12;;106.15
ID_595626;384976;29/06/2022;50;;6.5;;56.5
ID_595626;388444;13/07/2022;19.5;;5.5;;25
ID_595683;301423;20/04/2021;32;;5.49;;37.49
ID_595683;324113;28/12/2021;25;;3.99;;28.99
ID_595755;326871;14/09/2021;100;;9.6;;109.6
ID_595755;339030;14/11/2021;30;;9.6;;39.6
ID_595755;363186;21/02/2022;42;;6.8;;48.8
ID_595755;372158;10/04/2022;695;;32;-32;695
ID_595755;377420;17/05/2022;226;;9.49;;235.49
ID_595755;378091;24/05/2022;12.5;;6.99;;19.49
ID_595755;378191;26/05/2022;22.5;;7.49;;29.99
ID_595755;392275;14/12/2022;105;;12;;117
ID_595779;323234;22/12/2021;15.95;;4.7;-4.7;15.95
ID_595779;324712;03/09/2021;285;;29.99;;314.99
ID_595779;340668;18/11/2021;24;;4.49;;28.49
ID_595779;343969;28/11/2021;89;;19.49;;108.49
ID_595779;391428;05/12/2022;47.8;;5.5;-5.5;47.8
ID_595779;403314;14/11/2022;59;;5.2;-4;60.2
ID_595779;405090;24/11/2022;50;;5.2;;55.2
ID_595959;302374;29/04/2021;215;-15;29.99;-29.99;200
ID_595959;303450;06/05/2021;27.5;;3.99;;31.49
ID_595959;303455;06/05/2021;12.5;;3.49;;15.99
ID_596050;360678;08/02/2022;29;;5.99;;34.99
ID_596050;363445;22/02/2022;53.5;;8.49;;61.99
ID_596050;366541;15/03/2022;18.5;;6.8;;25.3
ID_596070;303184;04/05/2021;12;;4.7;;16.7
ID_596072;318531;25/07/2021;178;;29.99;;207.99
ID_596072;319530;30/07/2021;114.9;-20;19.49;;114.39
ID_596072;319637;30/07/2021;139;;9.99;;148.99
ID_596072;365610;06/03/2022;159;;29.99;;188.99
ID_596105;354755;21/01/2022;56;;4.49;;60.49
ID_596174;305781;22/05/2021;39;;6.8;;45.8
ID_596174;310389;19/06/2021;29;;6.8;;35.8
ID_596174;316250;15/07/2021;130;-20;19.49;;129.49
ID_596174;319726;30/07/2021;4.5;-0.45;3.49;;7.54
ID_596174;319728;30/07/2021;89;;19.49;;108.49
ID_596174;356051;24/01/2022;31.5;-6.3;5.99;;31.19
ID_596174;359533;03/02/2022;13.4;;6.49;;19.89
ID_596174;382566;23/06/2022;25;;4.6;;29.6
ID_596174;383335;25/06/2022;15;;7.2;;22.2
ID_596174;388638;14/07/2022;89;;12.25;;101.25
ID_596174;397067;28/09/2022;13.5;;5.2;;18.7
ID_596174;399149;14/10/2022;27;;12.25;;39.25
ID_596212;312549;29/06/2021;98;;19.49;;117.49
ID_596212;357167;28/01/2022;150;;19.49;;169.49
ID_596212;377181;15/05/2022;32;;4.6;;36.6
ID_596212;398605;12/10/2022;58;;7.2;;65.2
ID_596231;360122;05/02/2022;25;;9.6;;34.6
ID_596238;356757;27/01/2022;27.5;-5.5;12.99;;34.99
ID_596241;310381;19/06/2021;55;;4.99;;59.99
ID_596241;363621;23/02/2022;38;;4.49;;42.49
ID_596241;390167;22/07/2022;64;;5.2;;69.2
ID_596241;390939;28/07/2022;469;-15;25;-25;454
ID_596274;302522;01/05/2021;118;-15;29.99;-29.99;103
ID_596302;322692;19/12/2021;38.8;;4.7;-4.7;38.8
ID_596310;308746;08/06/2021;89;;3.99;;92.99
ID_596310;322198;15/12/2021;275;-15;45.49;;305.49
ID_596310;334276;30/10/2021;340;-20;19.49;;339.49
ID_596310;339240;14/11/2021;102.4;-15;9.99;;97.39
ID_596310;342692;24/11/2021;55;;4.99;;59.99
ID_596310;364952;01/03/2022;156;;5.99;;161.99
ID_596310;388188;12/07/2022;28.5;;4.6;;33.1
ID_596394;306655;28/05/2021;117;-20;29.99;;126.99
ID_596394;367338;21/03/2022;119;;19.49;;138.49
ID_596394;396423;22/09/2022;17;;5.2;;22.2
ID_596394;398188;09/10/2022;36;;7.49;;43.49
